哪儿x,0.500000,2
怎么样n,1.000000,1
什么p,0.714286,7
哪儿v,1.000000,2
究竟l,1.000000,1
啥r,0.500000,2
怎么样u,1.000000,1
为啥v,0.500000,2
哪u,1.000000,2
哪儿c,1.000000,1
什么l,1.000000,1
怎么样x,1.000000,2
怎么样y,1.000000,1
如何x,1.000000,4
谁-,0.714286,7
为什么x,0.750000,4
何来a,1.000000,1
咯x,0.333333,3
哪个v,1.000000,1
有何v,1.000000,2
肿么r,1.000000,1
哪款a,1.000000,4
为啥n,1.000000,1
怎么样-,1.000000,8
？-,0.775926,1080
哪里a,1.000000,1
毛线n,1.000000,1
怎么弄x,1.000000,1
肿么v,1.000000,1
到底l,1.000000,1
到底m,1.000000,1
到底n,1.000000,1
哪些m,1.000000,1
为毛d,1.000000,1
谁d,0.347826,23
干嘛v,0.750000,4
谁b,1.000000,1
谁a,1.000000,4
为毛n,1.000000,2
咩-,0.285714,7
到底x,1.000000,1
咯r,0.500000,2
谁y,0.857143,7
谁x,0.833333,6
谁v,0.673469,49
到底v,0.933333,15
怎么办-,1.000000,1
到底r,1.000000,9
谁p,0.900000,10
有木有-,0.723404,47
Whox,1.000000,1
干什么-,1.000000,2
哪里c,1.000000,1
哪q,1.000000,2
干吗d,1.000000,1
何在x,1.000000,1
干什么x,0.750000,4
为啥x,1.000000,4
多少y,1.000000,3
哪个a,1.000000,1
如何l,1.000000,1
如何m,1.000000,3
如何n,0.500000,2
哪个d,1.000000,13
多少q,0.750000,4
为啥r,1.000000,1
如何c,1.000000,2
多久n,1.000000,1
哪个n,0.705882,17
多少v,0.444444,9
如何y,1.000000,1
多久v,1.000000,2
多少m,0.666667,3
多少n,0.590909,22
如何p,0.857143,7
哪个z,1.000000,1
如何v,0.580645,31
何在-,1.000000,3
干嘛-,0.333333,3
莫非v,1.000000,2
莫非i,1.000000,1
怎么t,1.000000,2
到底u,0.500000,2
谁u,0.333333,15
何为v,1.000000,1
孰是孰非-,1.000000,1
如何-,1.000000,5
哪x,1.000000,5
哪v,0.363636,11
到底p,0.500000,2
怎么弄-,1.000000,1
哪n,0.750000,4
哪里-,0.571429,7
哪m,0.944444,18
多少-,0.400000,5
吗o,0.500000,4
难道t,1.000000,1
怎么办y,1.000000,2
哪a,0.500000,2
究竟d,1.000000,1
啥-,0.500000,8
什么-,0.437500,16
嗎-,1.000000,2
为什么v,0.772727,22
干吗z,1.000000,1
何时v,0.750000,4
究竟r,1.000000,2
何时t,1.000000,1
何时u,1.000000,2
何时x,1.000000,2
干吗r,1.000000,1
誰-,1.000000,1
哪种n,1.000000,4
怎n,0.333333,3
为何z,1.000000,2
怎d,1.000000,1
为何v,1.000000,2
为何r,1.000000,1
为何n,1.000000,1
为什么-,0.500000,4
为何i,1.000000,1
知否x,1.000000,2
怎v,0.875000,8
为何d,1.000000,3
难道c,0.800000,15
什么d,0.444444,18
什么c,0.666667,3
难道d,0.666667,3
什么a,0.800000,15
啥m,1.000000,1
什么n,0.748344,151
什么m,1.000000,1
啥n,1.000000,10
难道l,1.000000,1
难道n,1.000000,4
啥u,0.250000,4
什么v,0.673469,49
什么u,0.583333,12
难道r,1.000000,5
难道u,1.000000,1
什么r,0.333333,3
什么q,1.000000,1
难道v,0.909091,11
何n,1.000000,2
啥y,1.000000,5
啥x,0.500000,4
什么y,0.875000,8
什么x,0.837838,37
怎样x,1.000000,5
whyx,1.000000,1
怎样u,1.000000,3
怎样v,0.500000,6
哪里n,1.000000,1
为什么f,1.000000,1
怎样r,1.000000,1
啥时候v,1.000000,2
哪里v,0.894737,19
怎样d,1.000000,1
哪里y,1.000000,1
哪里x,1.000000,8
为什么a,1.000000,3
为什么t,1.000000,1
吗x,0.827485,342
为什么p,1.000000,2
为什么r,0.909091,11
吗r,0.500000,36
干嘛d,1.000000,1
吗p,0.500000,2
啥v,0.750000,4
吗v,0.687500,16
为什么y,1.000000,2
吗u,0.333333,3
为什么d,1.000000,6
为什么e,1.000000,1
怎地v,1.000000,1
吗n,0.666667,30
干嘛x,0.500000,2
为什么b,1.000000,2
吗m,0.750000,12
吗b,1.000000,1
吗c,0.500000,2
为什么n,0.923077,13
吗f,1.000000,2
干嘛p,1.000000,2
吗d,0.666667,15
吗e,1.000000,3
哪些v,1.000000,5
呢-,0.393939,66
吗a,0.750000,8
多少x,0.800000,5
哪些x,1.000000,1
哪里u,1.000000,1
为什么m,1.000000,1
哪些b,1.000000,1
哪些a,1.000000,2
哪些n,1.000000,6
可好-,1.000000,10
怎么办x,0.700000,10
干嘛r,1.000000,1
怎么z,1.000000,1
哪个c,1.000000,2
怎么x,1.000000,1
哪款n,1.000000,3
究竟v,1.000000,3
怎么回事x,0.666667,6
如何i,1.000000,1
怎么r,0.857143,7
怎么p,0.666667,9
怎么v,0.810345,116
嗎x,1.000000,1
怎么u,0.666667,6
何用-,1.000000,1
?-,0.269767,215
怎么n,0.714286,7
啥p,0.500000,2
吗-,0.970199,604
怎么c,0.800000,5
干什么u,1.000000,1
怎么d,0.692308,13
呢m,1.000000,1
呢n,1.000000,2
多久d,1.000000,2
呢d,0.500000,2
誰y,1.000000,1
哪个-,1.000000,1
什么t,0.500000,2
呢x,0.909091,110
神马v,1.000000,1
如何a,0.500000,2
神马x,1.000000,1
多少r,1.000000,1
呢r,1.000000,1
捏-,1.000000,1
